Nation ID,Nationality,OB Slot No,Name,Nation,Class ID,Class,Cost,Size,Crew,Speed,Swim Spd,Move Class ID,Move Class,Radio%,Survivability,Lift Cap,Load Cost,1st Month Avail,1st Year Avail,Last Month Avail,Last Year Avail,Fire Control,Stabiliser,Vision,Nr S/D,Rate of Fire,EW,Range Finder,Weapon 1,Wpn 1 Name,Wpn1 HE Rds,Wpn1 AP Rds,Wpn1 HEAT Rds,Wpn1 SABOT Rds,Wpn1 Sound,Weapon 2,Wpn 2 Name,Wpn2 HE Rds,Wpn2 AP Rds,Wpn2 Sound,Weapon 3,Wpn 3 Name,Wpn3 HE Rds,Wpn3 AP Rds,Wpn3 Sound,Weapon 4,Wpn 4 Name,Wpn1 HE Rds,Wpn1 HE Rds,Wpn4 Sound,Steel HF,Steel HS,Steel HR,Steel TF,Steel TS,Steel TR,Steel Top,HEAT HF,HEAT HS,HEAT HR,HEAT TF,HEAT TS,HEAT TR,HEAT Top,ERA HF,ERA HS,ERA HR,ERA TF,ERA TS,ERA TR,ERA Top,Unit Sound,Graphic (Icon) ID,Picture (LBM) ID
11,Khroshi Syndicalists,13,KS-55A Directive Tank,11,13,Directive Tank,149,4,4,17,0,4,Track,81,4,13,31,1,79,12,84,10,2,20,2,6,0,22,231,KS-100 Cannon-79,0,0,12,11,0,64,KS Coax Support Gun,120,0,0,54,KS Heavy AA Gun-D,90,0,111,0,,0,0,0,20,8,6,23,15,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1470,10500
11,Khroshi Syndicalists,14,KS-55M Directive Tank,11,13,Directive Tank,232,4,4,18,0,4,Track,91,4,13,41,1,84,12,104,20,3,20,2,6,0,22,231,KS-100 Cannon-79,0,0,6,13,0,160,KS-117 Gun-Launched AT,0,6,0,64,KS Coax Support Gun,120,0,0,52,KS Heavy AA Gun-N,0,0,111,26,8,6,29,15,6,3,33,8,6,36,15,6,3,0,0,0,0,0,0,0,0,2667,11150
11,Khroshi Syndicalists,15,KS-55D Directive Tank,11,13,Directive Tank,167,4,4,17,0,4,Track,92,4,0,41,1,83,12,89,15,3,20,2,6,2,22,231,KS-100 Cannon-79,0,0,12,11,0,64,KS Coax Support Gun,120,0,0,54,KS Heavy AA Gun-D,90,0,111,0,,0,0,0,20,8,6,23,15,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2589,32114
11,Khroshi Syndicalists,16,KS-55MV Directive Tank,11,13,Directive Tank,250,4,4,18,0,4,Track,90,4,0,42,1,85,12,89,20,3,20,2,6,0,22,231,KS-100 Cannon-79,0,0,6,13,0,161,KS-117M Gun-Launched AT,0,6,0,64,KS Coax Support Gun,120,0,0,52,KS Heavy AA Gun-N,0,0,111,20,8,6,23,15,6,3,27,8,6,30,15,6,3,3,3,0,4,3,0,3,0,1446,11154
11,Khroshi Syndicalists,19,KS-62 Directive Tank,11,13,Directive Tank,156,4,4,18,0,4,Track,82,4,13,37,1,75,12,82,10,2,20,0,6,0,22,248,KS-115 Cannon-S,0,0,6,12,0,64,KS Coax Support Gun,120,0,0,54,KS Heavy AA Gun-D,90,0,111,0,,0,0,0,20,8,5,28,18,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1298,32147
11,Khroshi Syndicalists,20,KS-62M1 Directive Tank,11,13,Directive Tank,187,4,4,18,0,4,Track,90,4,13,42,1,83,12,99,20,3,20,2,6,0,22,249,KS-115 Cannon-83,0,0,10,12,0,64,KS Coax Support Gun,120,0,0,52,KS Heavy AA Gun-N,90,0,111,0,,0,0,0,26,9,5,36,19,11,4,33,9,5,43,19,11,4,0,0,0,0,0,0,0,0,1305,32148
11,Khroshi Syndicalists,21,KS-62M Directive Tank,11,13,Directive Tank,262,4,4,18,0,4,Track,90,4,13,42,1,83,12,104,20,3,20,2,6,0,22,249,KS-115 Cannon-83,0,0,6,12,0,161,KS-117M Gun-Launched AT,0,6,0,64,KS Coax Support Gun,120,0,0,52,KS Heavy AA Gun-N,0,0,111,26,9,5,36,19,11,4,33,9,5,43,19,11,4,0,0,0,0,0,0,0,0,1305,32148
11,Khroshi Syndicalists,22,KS-62D Directive Tank,11,13,Directive Tank,184,4,4,18,0,4,Track,92,4,0,37,1,83,12,104,15,3,20,2,6,2,22,249,KS-115 Cannon-83,0,0,6,12,0,64,KS Coax Support Gun,120,0,0,54,KS Heavy AA Gun-D,90,0,111,0,,0,0,0,26,9,5,36,19,11,4,33,9,5,43,19,11,4,0,0,0,0,0,0,0,0,2601,11123
11,Khroshi Syndicalists,23,KS-62MV Directive Tank,11,13,Directive Tank,278,4,4,18,0,4,Track,92,4,0,42,1,85,12,104,20,3,20,2,6,2,22,249,KS-115 Cannon-83,0,0,6,12,0,161,KS-117M Gun-Launched AT,0,6,0,64,KS Coax Support Gun,120,0,0,52,KS Heavy AA Gun-N,0,0,111,26,9,5,36,19,11,4,33,9,5,43,19,11,4,3,3,0,4,4,0,3,0,1307,6105
11,Khroshi Syndicalists,26,KS-64A Automaton Walker,11,59,Automaton Walker,172,4,3,22,0,4,Track,90,4,13,36,1,69,12,82,25,3,20,1,7,0,12,123,KS-125 Main Gun-69,0,0,8,13,0,64,KS Coax Support Gun,120,0,0,52,KS Heavy AA Gun-N,90,0,111,0,,0,0,0,31,12,5,36,19,10,4,41,20,5,45,22,12,4,0,0,0,0,0,0,0,0,1288,11124
